source_label,source_name,type,target_label,target_name
Concept,artificial intelligence systems,RELATED_TO,Technology,Generative AI
Concept,large datasets,RELATED_TO,Technology,Generative AI
Concept,patterns learned from data,RELATED_TO,Technology,Generative AI
Concept,Large dataset,RELATED_TO,Technology,Generative AI
Concept,Patterns,RELATED_TO,Technology,Generative AI
Technology,Large Language Models (LLMs),RELATED_TO,Technology,Generative AI
Concept,statistical patterns and correlations,RELATED_TO,Technology,Generative AI
Concept,training data,RELATED_TO,Technology,Generative AI
Technology,GenAI Frameworks,RELATED_TO,Technology,Generative AI
Example,GPT,USED_IN,Technology,Generative AI
Example,DALL-E,USED_IN,Technology,Generative AI
Example,text,USED_IN,Technology,Generative AI
Example,images,USED_IN,Technology,Generative AI
Example,audio,USED_IN,Technology,Generative AI
Example,code,USED_IN,Technology,Generative AI
Example,Chatbots,USED_IN,Technology,Generative AI
Example,Content creation,USED_IN,Technology,Generative AI
Example,Image synthesis,USED_IN,Technology,Generative AI
Example,Code generation,USED_IN,Technology,Generative AI
Process,training on large datasets,PART_OF,Technology,Generative AI
Process,using patterns learned from data to generate new output,PART_OF,Technology,Generative AI
Process,Model training,PART_OF,Technology,Generative AI
Process,Pattern learning,PART_OF,Technology,Generative AI
Process,Content generation,PART_OF,Technology,Generative AI
Technology,Generative AI,LEADS_TO,Benefit,creation of new content that resembles human-made data
Process,using patterns learned from data to generate new output,LEADS_TO,Benefit,creation of new content that resembles human-made data
Technology,Generative AI,HAS_CHALLENGE,Challenge,Lack of human-like intelligence
Technology,Generative AI,RELATED_TO,Technology,Large Language Models (LLMs)
Concept,training data,RELATED_TO,Technology,Large Language Models (LLMs)
Concept,probabilistic continuation of instructions,RELATED_TO,Technology,Large Language Models (LLMs)
Concept,Text Analysis,RELATED_TO,Technology,Large Language Models (LLMs)
Example,Avoid Jargon at all costs.,USED_IN,Technology,Large Language Models (LLMs)
Example,Tell me about the capital of Japan.,USED_IN,Technology,Large Language Models (LLMs)
Process,text generation,PART_OF,Technology,Large Language Models (LLMs)
Process,training on vast amounts of text data,PART_OF,Technology,Large Language Models (LLMs)
Technology,Generative AI,HAS_CHALLENGE,Challenge,lack of understanding or comprehension
